name;position;height;weight
LeBron James;Ala;2.06;113.4
Kawhi Leonard;Ala;2.01;102.1
Giannis Antetokounmpo;Armador;2.11;109.8
Kevin Durant;Ala;2.08;104.3
James Harden;Armador;1.96;99.8
Stephen Curry;Armador;1.91;83.9
Anthony Davis;Pivo;2.08;100.7
Paul George;Ala;2.03;95.3
Damian Lillard;Armador;1.88;88.5
Joel Embiid;Pivo;2.13;113.4
Kyrie Irving;Armador;1.88;81.6
Nikola Jokic;Pivo;2.13;114.8
Russell Westbrook;Armador;1.91;86.2
Klay Thompson;Armador;1.98;93
Karl-Anthony Towns;Pivo;2.11;112.5
Jimmy Butler;Armador;2.01;99.8
Rudy Gobert;Pivo;2.16;108
Blake Griffin;Ala;2.06;114.3
Donovan Mitchell;Armador;1.85;95.7
Kemba Walker;Armador;1.83;78
Luka Doncic;Ala;2.01;103
LaMarcus Aldridge;Pivo;2.11;111.6
Bradley Beal;Armador;1.91;93.9
Mike Conley;Armador;1.85;83.9
DeMar DeRozan;Ala;1.98;99.8
CJ McCollum;Armador;1.91;89.4
Victor Oladipo;Armador;1.93;96.6
Kristaps Porzingis;Pivo;2.21;99.8
D'Angelo Russell;Armador;1.93;87.5
Pascal Siakam;Ala;2.06;103
Ben Simmons;Ala;2.08;108.9
De'Aaron Fox;Armador;1.91;77.6
Devin Booker;Armador;1.96;93.4
DeMarcus Cousins;Pivo;2.08;122.5
Andre Drummond;Pivo;2.08;122.5
Draymond Green;Ala;1.98;104.3
Jrue Holiday;Armador;1.91;81.6
Nikola Vucevic;Pivo;2.11;108.9
John Wall;Armador;1.93;88.5
Jayson Tatum;Ala;2.03;92.5
Trae Young;Armador;1.85;81.6
Eric Bledsoe;Armador;1.85;88.5
Clint Capela;Pivo;2.08;95.7
Tobias Harris;Ala;2.03;102.5
Al Horford;Ala;2.06;111.6
Zach LaVine;Armador;1.98;82.1
Kyle Lowry;Armador;1.83;93
Khris Middleton;Ala;2.01;98.4
Chris Paul;Armador;1.85;79.4
